Frequency(Hz),Power(dBm),Power_real(dBm)
408430000,-126.6825867,-126.4289322
415420000,-89.76742554,-89.51156077
422410000,-124.8078384,-124.5497811
429400000,-89.36161804,-89.10138545
436390000,-119.7803879,-119.5179969
443380000,-89.57917023,-89.31463722
450370000,-127.0375214,-126.7708625
457360000,-79.61743927,-79.34867007
464350000,-122.0308304,-121.7599663
471340000,-89.51304626,-89.24010217
478330000,-123.7141266,-123.4391172
485320000,-89.40300751,-89.12594714
492310000,-125.1710434,-124.8919461
499300000,-89.6875,-89.40637944
506290000,-120.4839859,-120.2008555
513280000,-89.77895355,-89.49382654
520270000,-121.1843872,-120.8972764
527260000,-89.58460236,-89.29552046
534250000,-123.2318344,-122.9407938
541240000,-80.71841431,-80.42542706
548230000,-122.4437943,-122.1488723
555220000,-86.28941345,-85.99256846
562210000,-122.4449081,-122.1461515
569200000,-90.07595062,-89.77529373
576190000,-126.0819855,-125.7794393
583180000,-89.98755646,-89.68313182
590170000,-127.3993073,-127.0930148
597160000,-89.45691681,-89.14876699
604150000,-120.5821533,-120.2721564
611140000,-89.52397919,-89.21214529
618130000,-121.0882568,-120.7745958
625120000,-89.43701935,-89.12154105
632110000,-123.0030518,-122.6857658
639100000,-77.05460358,-76.73551924
646090000,-121.8538437,-121.5329703
653080000,-80.22689819,-79.90424493
660070000,-117.5945129,-117.2700887
667060000,-76.53527069,-76.20908443
674050000,-126.973793,-126.6458534
681040000,-86.6286087,-86.29892424
688030000,-119.6283722,-119.2969514
695020000,-86.71008301,-86.37693409
702010000,-119.2641678,-118.929299
709000000,-89.20998383,-88.87340317
715990000,-127.3159409,-126.9776563
722980000,-88.90829468,-88.56831403
729970000,-119.4561615,-119.1144925
736960000,-88.58478546,-88.24143567
743950000,-131.005127,-130.6601039
750940000,-89.19734955,-88.85066059
757930000,-121.6684647,-121.3201171
764920000,-88.75718689,-88.4071879
771910000,-123.3536835,-123.0020402
778900000,-64.9763031,-64.62302241
785890000,-98.42232513,-98.06741399
792880000,-65.29410553,-64.93757073
799870000,-118.5189133,-118.1607616
806860000,-89.27892303,-88.91916097
813850000,-119.97052,-119.6091542
820840000,-87.85542297,-87.49245981
827830000,-119.1110687,-118.7465146
834820000,-89.27624512,-88.91010636
841810000,-118.9842606,-118.6165434
848800000,-88.79304504,-88.42375553
855790000,-123.3239899,-122.9531341
862780000,-79.38525391,-79.01283789
869770000,-119.7881165,-119.4141461
876760000,-82.46909332,-82.09357446
883750000,-120.2167053,-119.8396437
890740000,-88.25359344,-87.87499482
897730000,-118.6832886,-118.3031586
904720000,-87.88032532,-87.4986695
911710000,-125.2100754,-124.8268993
918700000,-82.07224274,-81.68755175
925690000,-120.2801819,-119.8939814
932680000,-56.53792191,-56.15021728
939670000,-114.5534058,-114.1642023
946660000,-63.97062302,-63.5799258
953650000,-115.9728622,-115.5806764
960640000,-82.2400589,-81.84638968
967630000,-118.2025986,-117.807451
974620000,-89.1233902,-88.72676911
981610000,-117.8380814,-117.4399918
988600000,-88.79762268,-88.39806942
995590000,-124.940239,-124.5392269
1002580000,-88.79218292,-88.38971678
1009570000,-122.7969589,-122.3930434
1016560000,-89.26567841,-88.86031828
1023550000,-123.5177231,-123.1109229
1030540000,-87.65962219,-87.25138657
1037530000,-123.1657333,-122.7560667
1044520000,-89.12020874,-88.70911574
1051510000,-122.3563919,-121.9438769
1058500000,-88.94634247,-88.53240986
1065490000,-118.9123154,-118.4969695
1072480000,-88.79628754,-88.37953273
1079470000,-119.6179123,-119.1997528
1086460000,-88.6752243,-88.25566435
